normalized_query,query_type,reward,risky
execute stmt;,EXECUTE,0,0
"create table if not exists servers ( server_name char(0) not null default 'str', host char(0) character set ascii not null default 'str', db char(0) not null default 'str', username char(0) not null default 'str', password char(0) not null default 'str', port int not null default 'str', socket char(0) not null default 'str', wrapper char(0) not null default 'str', owner char(0) not null default 'str', primary key (server_name)) engine=innodb stats_persistent=0 character set utf8mb3 comment='str' row_format=dynamic tablespace=mysql encryption='str'",CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd = ""create table if not exists tables_priv",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists tables_priv,CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd = ""create table if not exists columns_priv",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists columns_priv,CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd = ""str"";",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
"create table if not exists help_keyword ( help_keyword_id int unsigned not null, name char(0) not null, primary key (help_keyword_id), unique index (name) ) engine=innodb stats_persistent=0 character set utf8mb3 comment='str' row_format=dynamic tablespace=mysql encryption='str'",CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd = ""str"";",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
"create table if not exists time_zone_name ( name char(0) not null, time_zone_id int unsigned not null, primary key name (name) ) engine=innodb stats_persistent=0 character set utf8mb3 comment='str' row_format=dynamic tablespace=mysql encryption='str'",CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd = ""str"";",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
"create table if not exists time_zone ( time_zone_id int unsigned not null auto_increment, use_leap_seconds enum('str','str') collate utf8mb3_general_ci default 'str' not null, primary key tzid (time_zone_id) ) engine=innodb stats_persistent=0 character set utf8mb3 comment='str' row_format=dynamic tablespace=mysql encryption='str'",CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd = ""str"";",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
"create table if not exists time_zone_transition ( time_zone_id int unsigned not null, transition_time bigint signed not null, transition_type_id int unsigned not null, primary key tzidtrantime (time_zone_id, transition_time) ) engine=innodb stats_persistent=0 character set utf8mb3 comment='str' row_format=dynamic tablespace=mysql encryption='str'",CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd = ""str"";",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
"create table if not exists time_zone_transition_type ( time_zone_id int unsigned not null, transition_type_id int unsigned not null, offset int signed default 0 not null, is_dst tinyint unsigned default 0 not null, abbreviation char(0) default 'str' not null, primary key tzidtrtid (time_zone_id, transition_type_id) ) engine=innodb stats_persistent=0 character set utf8mb3 comment='str' row_format=dynamic tablespace=mysql encryption='str'",CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd = ""str"";",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
"create table if not exists time_zone_leap_second ( transition_time bigint signed not null, correction int signed not null, primary key trantime (transition_time) ) engine=innodb stats_persistent=0 character set utf8mb3 comment='str' row_format=dynamic tablespace=mysql encryption='str'",CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd = ""create table if not exists procs_priv",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists procs_priv,CREATE,0,0
drop prepare stmt;,DROP,0,0
-- bug#0: temporarily turn off sql_require_primary_key for the,UNK,0,0
set @@session.sql_require_primary_key = 0;,SET,0,0
-- create general_log,UNK,0,0
-- create slow_log,UNK,0,0
set @@session.sql_require_primary_key = @old_sql_require_primary_key;,SET,0,0
"set @cmd = ""str"";",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
"create table if not exists component ( component_id int unsigned not null auto_increment, component_group_id int unsigned not null, component_urn text not null, primary key (component_id)) engine=innodb default charset=utf8mb3 comment 'str' row_format=dynamic tablespace=mysql encryption='str'",CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd=""create table if not exists slave_relay_log_info (",SET,0,0
"set @str=if(@have_innodb <> 0, concat(@cmd, 'str''str'\'str'), concat(@cmd, 'str'));",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists slave_relay_log_info (,CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd= ""create table if not exists slave_master_info (",SET,0,0
"set @str=if(@have_innodb <> 0, concat(@cmd, 'str''str'\'str'), concat(@cmd, 'str'));",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists slave_master_info (,CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd= ""create table if not exists slave_worker_info (",SET,0,0
"set @str=if(@have_innodb <> 0, concat(@cmd, 'str''str'\'str'), concat(@cmd, 'str'));",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists slave_worker_info (,CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd= ""create table if not exists gtid_executed (",SET,0,0
"set @str=if(@have_innodb <> 0, concat(@cmd, 'str''str'\'str'), concat(@cmd, 'str'));",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists gtid_executed (,CREATE,0,0
drop prepare stmt;,DROP,0,0
-- replication_asynchronous_connection_failover table,UNK,0,0
"set @str=if(@have_innodb <> 0, concat(@cmd, 'str''str'\'str'), concat(@cmd, 'str'));",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists replication_asynchronous_connection_failover (,CREATE,0,0
drop prepare stmt;,DROP,0,0
-- replication_asynchronous_connection_failover_managed table,UNK,0,0
"set @str=if(@have_innodb <> 0, concat(@cmd, 'str''str'\'str'), concat(@cmd, 'str'));",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists replication_asynchronous_connection_failover_managed (,CREATE,0,0
drop prepare stmt;,DROP,0,0
-- replication_group_member_actions,UNK,0,0
"set @str=if(@have_innodb <> 0, concat(@cmd, 'str''str'\'str'), concat(@cmd, 'str'));",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists replication_group_member_actions (,CREATE,0,0
drop prepare stmt;,DROP,0,0
-- replication_group_configuration_version,UNK,0,0
"set @str=if(@have_innodb <> 0, concat(@cmd, 'str''str'\'str'), concat(@cmd, 'str'));",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists replication_group_configuration_version (,CREATE,0,0
drop prepare stmt;,DROP,0,0
--,UNK,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists server_cost (,CREATE,0,0
drop prepare stmt;,DROP,0,0
insert ignore into server_cost(cost_name) values,INSERT,1,0
-- engine cost constants,UNK,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists engine_cost (,CREATE,0,0
drop prepare stmt;,DROP,0,0
"insert ignore into engine_cost(engine_name, device_type, cost_name) values",INSERT,1,0
"set @cmd = ""str"";",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
"create table if not exists proxies_priv (host char(0) character set ascii default 'str' not null, user char(0) binary default 'str' not null, proxied_host char(0) character set ascii default 'str' not null, proxied_user char(0) binary default 'str' not null, with_grant bool default 0 not null, grantor varchar(0) default 'str' not null, timestamp timestamp not null default current_timestamp on update current_timestamp, primary key host (host,user,proxied_host,proxied_user), key grantor (grantor) ) engine=innodb stats_persistent=0 character set utf8mb3 collate utf8mb3_bin comment='str' row_format=dynamic tablespace=mysql encryption='str'",CREATE,-2,1
drop prepare stmt;,DROP,0,0
-- remember for later if proxies_priv table already existed,UNK,0,0
--,UNK,0,0
"set @cmd=""create table if not exists ndb_binlog_index (",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
"set @str = if(@have_ndb = 0, @str, 'str');",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists ndb_binlog_index (,CREATE,0,0
drop prepare stmt;,DROP,0,0
flush privileges,FLUSH,0,0
create user root@localhost;,CREATE,-1,1
grant all privileges on *.* to root@localhost with grant option;,GRANT,-1,1
grant proxy on 'str'@'str' to 'str'@'str' with grant option;,GRANT,-1,1
"insert ignore into mysql.global_grants values ('str', 'str', 'str', 'str');",INSERT,1,0
"insert ignore into mysql.global_grants values ('str', 'str', 'str', 'str')",INSERT,1,0
"-- copyright (c) 0, 0, oracle and/or its affiliates.",UNK,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str's link""str""epsg""str""0""str""e""str""n""str""epsg""str""0""]]', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
